,College Name,Choice Code :,Course Name :,GOPEN,GSC,GNTB,GOBC,LOPEN,LST,LOBC,EWS,GST,GNTA,LSC,GNTC,LNTA,PWD-O,LNTC,LNTD,DEF-O,LNTB,GNTD,MI,PWDR-SC,PWDR-OBC,DEFR-OBC
0,"1002 Government College of Engineering, Amravati (Government Autonomous)",100219110,Civil Engineering,93.32,90.00,88.95,93.11,92.00,83.11,91.26,89.16,,,,,,,,,,,,,,,
1,"1002 Government College of Engineering, Amravati (Government Autonomous)",100224210,Computer Science and Engineering,93.32,90.68,87.53,92.80,95.84,,95.00,91.95,88.86,,,,,,,,,,,,,,
2,"1002 Government College of Engineering, Amravati (Government Autonomous)",100224610,Information Technology,91.26,90.37,,91.18,91.89,,91.63,90.63,,85.26,86.05,,,,,,,,,,,,
3,"1002 Government College of Engineering, Amravati (Government Autonomous)",100229310,Electrical Engineering,91.39,87.79,,91.21,,83.83,90.22,87.94,,,,,,,,,,,,,,,
4,"1002 Government College of Engineering, Amravati (Government Autonomous)",100237210,Electronics and Telecommunication Engg,86.84,83.06,,86.00,87.47,71.12,86.89,86.65,,,,78.82,76.06,71.06,,,,,,,,,
5,"1002 Government College of Engineering, Amravati (Government Autonomous)",100246610,Instrumentation Engineering,85.28,,,83.54,79.94,,,81.66,,,,,,,,,,,,,,,
6,"1002 Government College of Engineering, Amravati (Government Autonomous)",100261210,Mechanical Engineering,88.77,87.53,,88.32,85.90,,79.59,85.03,82.63,,,,,,,,,,,,,,
7,"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",100550310,Food Technology,73.05,,,,86.00,,68.60,,,,,,,,,,,,,,,,
8,"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",100551710,Oil and Paints Technology,74.35,,,69.65,65.39,,,76.17,,,,,,,,,,,,,,,
9,"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",100552410,Paper and Pulp Technology,63.58,,,,,,,,,,,,,,,,,,,,,,
10,"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",100552710,Petro Chemical Engineering,76.97,,,69.74,,,,64.05,,,,,,,,,,,,,,,
11,"1012 Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,86.58,85.47,,86.05,88.11,,86.26,87.32,80.37,85.21,84.37,77.11,,67.63,,65.63,72.00,,,,,,
12,"1012 Government College of Engineering,Yavatmal (Government)",101224510,Computer Engineering,87.24,,,86.63,88.59,,85.43,84.95,67.60,,82.00,84.74,,,,,,,,,,,
13,"1012 Government College of Engineering,Yavatmal (Government)",101229310,Electrical Engineering,85.89,81.28,,84.44,87.22,,85.70,86.56,75.39,,85.28,84.94,78.17,83.44,,,,,,,,,
14,"1012 Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,84.06,82.47,,84.05,84.84,,84.63,81.65,77.65,,77.65,74.35,,,,,,,,,,,
15,"1012 Government College of Engineering,Yavatmal (Government)",101261210,Mechanical Engineering,82.46,80.82,,80.30,76.32,,67.74,81.49,68.15,,,72.72,,72.92,,,,,,,,,
16,"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110124210,Computer Science and Engineering,88.34,85.20,,87.37,88.21,,88.16,86.20,,,,,,,,,,,,,,,
17,"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110124610,Information Technology,86.13,,,,,,87.26,86.00,,78.86,,85.45,,,,,,,,,,,
18,"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110135610,Electrical Engg[Electronics and Power],88.33,77.89,,85.67,85.17,,,81.67,,,75.72,,,,,80.28,,,,,,,
19,"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110137210,Electronics and Telecommunication Engg,84.45,75.82,71.63,83.35,85.47,,85.29,79.82,,,73.06,,,,,,75.00,,,,,,
20,"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110161210,Mechanical Engineering,79.81,73.50,70.21,77.64,74.26,,,77.69,68.05,70.79,,69.59,,,,,,,,,,,
21,"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110519110,Civil Engineering,84.53,79.21,73.94,82.84,85.65,69.95,84.26,67.00,75.00,79.53,76.84,76.95,,,,,57.05,,,,,,
22,"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110524210,Computer Science and Engineering,85.63,82.26,,84.86,87.32,,87.21,84.06,,75.13,79.83,,,,79.26,,81.05,,,,,,
23,"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110524610,Information Technology,84.29,79.31,82.23,83.84,84.46,,84.32,81.83,,,77.06,,,,,,,,,,,,
24,"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110526310,Artificial Intelligence (AI) and Data Science,80.21,75.11,,,,,80.11,78.33,,,,,,,,,,,71.88,,,,
25,"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided)",110526510,Industrial IoT,76.42,70.97,,,,,77.05,72.95,,,,,,,,,,,,,,,
